7430.0,36.0,82.0,18.0,4.0,139.0,10.0,2.0,3.0,38.0,25.0,0.0,1.0,9.0,8.0,2.0,12.0,2.0,12.0,5.0
44.0,6205.0,74.0,10.0,11.0,24.0,15.0,1.0,3.0,1.0,15.0,2.0,2.0,3.0,1.0,6.0,1.0,4.0,4.0,12.0
79.0,59.0,3906.0,13.0,5.0,62.0,99.0,2.0,1.0,8.0,13.0,2.0,2.0,4.0,14.0,8.0,17.0,8.0,13.0,5.0
10.0,22.0,17.0,2880.0,5.0,13.0,0.0,9.0,3.0,7.0,0.0,2.0,2.0,22.0,3.0,1.0,1.0,4.0,2.0,0.0
18.0,13.0,17.0,6.0,2511.0,6.0,5.0,24.0,25.0,1.0,0.0,19.0,11.0,3.0,2.0,7.0,0.0,1.0,2.0,2.0
277.0,16.0,92.0,10.0,5.0,2128.0,14.0,0.0,5.0,10.0,22.0,1.0,3.0,10.0,12.0,3.0,16.0,3.0,18.0,1.0
35.0,17.0,105.0,1.0,3.0,19.0,1354.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0
4.0,8.0,2.0,24.0,44.0,2.0,0.0,1380.0,6.0,1.0,1.0,8.0,51.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0
9.0,5.0,13.0,75.0,79.0,7.0,3.0,6.0,1200.0,2.0,0.0,10.0,3.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0
100.0,7.0,13.0,10.0,3.0,9.0,1.0,0.0,1.0,1010.0,8.0,1.0,1.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0
108.0,75.0,27.0,7.0,1.0,61.0,10.0,1.0,2.0,13.0,655.0,1.0,0.0,6.0,4.0,5.0,0.0,3.0,6.0,4.0
2.0,4.0,5.0,1.0,37.0,4.0,1.0,0.0,9.0,0.0,2.0,758.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0
9.0,4.0,2.0,4.0,50.0,2.0,0.0,68.0,4.0,1.0,0.0,6.0,664.0,0.0,0.0,8.0,0.0,0.0,1.0,2.0
14.0,10.0,3.0,21.0,0.0,4.0,2.0,0.0,0.0,13.0,3.0,0.0,2.0,744.0,0.0,0.0,1.0,3.0,1.0,0.0
19.0,13.0,77.0,6.0,2.0,43.0,2.0,0.0,3.0,5.0,3.0,1.0,0.0,0.0,585.0,1.0,23.0,5.0,15.0,1.0
8.0,10.0,16.0,6.0,34.0,2.0,4.0,11.0,4.0,0.0,1.0,1.0,7.0,0.0,1.0,633.0,2.0,5.0,4.0,6.0
15.0,3.0,46.0,4.0,2.0,37.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,3.0,17.0,0.0,522.0,4.0,7.0,0.0
4.0,5.0,21.0,7.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,471.0,3.0,1.0
21.0,5.0,22.0,5.0,1.0,27.0,3.0,1.0,2.0,5.0,2.0,2.0,0.0,2.0,3.0,1.0,4.0,1.0,381.0,1.0
7.0,34.0,15.0,6.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,3.0,2.0,3.0,0.0,381.0
